"A8m","A8dl","A9l","A6dl","A6m","A9m","A10m","A9/46d","IFJ","A46","A9/46v","A8vl","A6vl","A10l","A44d","IFS","A45c","A45r","A44op","A44v","A14m","A12/47o","A11l","A11m","A13","A12/47l","A4hf","A6cdl","A4ul","A4t","A4tl","A6cvl","A1/2/3ll","A4ll","A38m","A41/42","TE1.0/TE1.2","A22c","A38l","A22r","A21c","A21r","A37dl","aSTS","A20iv","A37elv","A20r","A20il","A37vl","A20cl","A20cv","A20rv","A37mv","A37lv","A35/36r","A35/36c","TL","A28/34","TI","TH","rpSTS","cpSTS","A7r","A7c","A5l","A7pc","A7ip","A39c","A39rd","A40rd","A40c","A39rv","A40rv","A7m","A5m","dmPOS","A31","A1/2/3ulhf","A1/2/3tonIa","A2","A1/2/3tru","G","vIa","dIa","vId/vIg","dIg","dId","A23d","A24rv","A32p","A23v","A24cd","A23c","A32sg","cLinG","rCunG","cCunG","rLinG","vmPOS","mOccG","V5/MT+","OPC","iOccG","msOccG","lsOccG","mAmyg","lAmyg","rHipp","cHipp","vCa","GP","NAC","vmPu","dCa","dlPu","mPFtha","mPMtha","Stha","rTtha","PPtha","Otha","cTtha","lPFtha","Label"
0.12750624,0.12359686,0.08059167,0.12826103,0.14287293,0.11945627,0.09900559,0.12521778,0.14930141,0.10242016,0.14276008,0.124891914,0.1418637,0.08706825,0.11107465,0.09746443,0.10725513,0.13685696,0.1347275,0.13967946,0.110124454,0.1358335,0.13405564,0.07734338,0.16213746,0.1375853,0.146236,0.13965207,0.14537072,0.14740357,0.13983198,0.12520257,0.14224856,0.14114444,0.16018945,0.13624439,0.10977884,0.11812228,0.13388056,0.14507668,0.12821996,0.1342436,0.1281741,0.11301968,0.18346189,0.16974135,0.1442525,0.15307796,0.1474322,0.16289043,0.19292855,0.16167153,0.14715962,0.15291145,0.14779541,0.14687721,0.17027472,0.14561313,0.15039426,0.16078077,0.14142053,0.15200622,0.1186593,0.1311538,0.17225814,0.13748099,0.1704537,0.14612152,0.14138508,0.13253273,0.12225054,0.15503962,0.12706274,0.14423813,0.13568163,0.158103,0.13359827,0.11301463,0.11400209,0.119770065,0.15099083,0.13214014,0.17287867,0.1437921,0.16204527,0.12876332,0.14843611,0.1534236,0.1866746,0.10549886,0.22009325,0.13765384,0.13963996,0.11185236,0.14390782,0.14900179,0.14876834,0.1349597,0.14583533,0.18122372,0.1651519,0.14047056,0.17346309,0.1480422,0.1420492,0.114467256,0.23447303,0.13146256,0.1628281,0.19037376,0.31158713,0.2891964,0.26477197,0.20137066,0.28079146,0.2668016,0.5298862,0.47505492,0.19105159,0.31968248,0.24894919,0.2600978,0.3325207,0
0.11299856,0.10959664,0.09316309,0.11136391,0.13489336,0.11051375,0.106151775,0.13780248,0.13961467,0.11686697,0.12975697,0.122930974,0.12087673,0.11783334,0.13836867,0.12275554,0.1194366,0.108216606,0.1522708,0.12403014,0.10549438,0.14273432,0.15914147,0.11078868,0.13399139,0.115233,0.13022226,0.11745131,0.09379526,0.08290623,0.13284089,0.12687804,0.09716202,0.102098934,0.098352134,0.12874693,0.10444461,0.11063546,0.11471424,0.14180474,0.11271102,0.10291628,0.10497533,0.10036737,0.14931837,0.13396502,0.11296399,0.14471622,0.14374472,0.13596469,0.1543721,0.12505697,0.12896076,0.12285186,0.13225475,0.13304827,0.15621638,0.14694056,0.11667696,0.14589244,0.12773526,0.14573504,0.09018912,0.113847576,0.15567523,0.10030482,0.113300145,0.108022824,0.11655567,0.12511784,0.1085942,0.13437885,0.12616599,0.1117461,0.09268409,0.14088836,0.11956315,0.119110785,0.11609774,0.11138841,0.1046491,0.11546896,0.15098514,0.13330002,0.15092124,0.12441169,0.14139585,0.1405189,0.18835582,0.104366794,0.20807208,0.10904015,0.12355214,0.113739565,0.11059849,0.10427129,0.10433863,0.11971245,0.12458775,0.12438469,0.134755,0.083578005,0.12439529,0.09160896,0.09849005,0.12275739,0.21532844,0.119449586,0.1396753,0.19576555,0.32805613,0.26694575,0.26482955,0.2028882,0.25934306,0.34266436,0.50223064,0.49319407,0.21354671,0.35562584,0.30262125,0.28580835,0.3704987,0
0.109432235,0.107486844,0.0720922,0.12566274,0.13178456,0.10042835,0.08109171,0.09977031,0.124503046,0.097068064,0.11010098,0.10933508,0.11250466,0.087192535,0.111301124,0.10190682,0.10413684,0.11380986,0.113341115,0.11095185,0.10404931,0.12733908,0.15124276,0.08443705,0.17037855,0.11582888,0.118270986,0.14537607,0.12795714,0.14902222,0.118100055,0.10849681,0.14712235,0.14999259,0.14523922,0.121923655,0.10539619,0.112159714,0.1193549,0.1357828,0.11778776,0.12659375,0.12779272,0.104644425,0.18057615,0.13408272,0.16933483,0.11979418,0.13784863,0.12981191,0.16980991,0.16269411,0.14335681,0.14141682,0.14655785,0.13107322,0.13813491,0.16135438,0.13724864,0.12413107,0.1510895,0.14100051,0.13983068,0.11722795,0.14748639,0.12984277,0.12736456,0.1358878,0.1374243,0.11976842,0.13173945,0.14724533,0.117780976,0.13718769,0.13567176,0.14099644,0.14038266,0.10200033,0.09672357,0.1258946,0.1485183,0.11728922,0.1393544,0.10971798,0.1456707,0.12076599,0.12312402,0.16640143,0.17998478,0.088837266,0.17847328,0.1118264,0.14518392,0.09061836,0.117380075,0.13522978,0.12803717,0.11864339,0.12036374,0.1372961,0.1334932,0.123397514,0.1431109,0.12533803,0.13855559,0.12354386,0.22302397,0.13900082,0.15585066,0.17867006,0.24837792,0.25312546,0.21213146,0.18084887,0.21170622,0.25200927,0.4938684,0.46734482,0.22364075,0.2717578,0.23254378,0.25342503,0.32020625,0
0.109924525,0.105169736,0.08462266,0.097584374,0.124750346,0.10729892,0.098948985,0.107056834,0.124553286,0.097156614,0.10895057,0.09452898,0.11596713,0.088431075,0.15738419,0.11434195,0.09420599,0.1012337,0.11381911,0.11229701,0.11517183,0.12109964,0.1440439,0.0989494,0.15046225,0.11678204,0.11218741,0.11436064,0.12655504,0.10834365,0.09958972,0.09597676,0.11619272,0.11466324,0.13214794,0.12298897,0.109649815,0.10016862,0.11888982,0.12991287,0.117075905,0.11624969,0.11718124,0.10688588,0.15187639,0.1210775,0.12728895,0.13996635,0.119624905,0.13596752,0.13914554,0.1482208,0.12693481,0.14773558,0.13961203,0.13455449,0.15592767,0.13635181,0.15629923,0.13949941,0.12270705,0.13523532,0.104257524,0.09966331,0.17421225,0.09743705,0.11988862,0.1123107,0.11282487,0.12320324,0.1038439,0.13502192,0.11907687,0.11848533,0.103113525,0.12463709,0.11614247,0.118931666,0.10399103,0.10379439,0.09492432,0.12571938,0.16402821,0.113619655,0.18306552,0.119674444,0.12102546,0.114031814,0.16332613,0.09916001,0.17500816,0.09912587,0.124670886,0.10553239,0.11013914,0.09710482,0.10536758,0.11515199,0.11534219,0.11954712,0.12400984,0.09345768,0.12614082,0.10791611,0.10245355,0.14707313,0.2383402,0.14798653,0.15233618,0.17668952,0.32151043,0.26919952,0.27533332,0.17417325,0.25470668,0.315304,0.48897132,0.49517643,0.20975472,0.32305396,0.27386424,0.289205,0.33712944,0
0.12001927,0.12753083,0.09919016,0.12408321,0.12951192,0.10928019,0.1121487,0.13347252,0.16041867,0.1078001,0.13660789,0.13202286,0.12462107,0.103557505,0.12967324,0.1190338,0.12640351,0.113910295,0.15171562,0.12916452,0.11373393,0.13267782,0.14728388,0.10892371,0.1799294,0.120044485,0.12658791,0.14792913,0.123507366,0.119673565,0.12385781,0.13763179,0.12635769,0.12437262,0.17169867,0.1277115,0.1047961,0.108653925,0.12488718,0.13776246,0.11433556,0.11520828,0.11844831,0.108750544,0.18748222,0.12278855,0.13486785,0.11280879,0.12834628,0.15227601,0.1683888,0.15031081,0.14638951,0.14465351,0.15244421,0.141895,0.13727693,0.16469367,0.1596553,0.15179975,0.1404258,0.14472112,0.11092646,0.09768385,0.12752408,0.10644907,0.13911863,0.116677806,0.1345211,0.11705519,0.11833204,0.13596362,0.11671315,0.12898436,0.11609071,0.14428164,0.1364185,0.12798154,0.11440716,0.09520258,0.11129406,0.12704556,0.16690135,0.13648832,0.16249986,0.1281017,0.14195183,0.1493023,0.1835738,0.10357701,0.22008198,0.10860467,0.11929519,0.1049416,0.117992915,0.12002677,0.12570378,0.13373977,0.12599874,0.13616697,0.13648175,0.11871952,0.1383931,0.11247481,0.109717935,0.13170595,0.2059704,0.1530311,0.17878354,0.20466296,0.3473464,0.26337764,0.27978495,0.22110757,0.23171785,0.31952566,0.5055353,0.44495088,0.24306153,0.30811018,0.28704768,0.31158736,0.3407192,0
0.13222323,0.11367602,0.0954017,0.11699483,0.14513724,0.13678919,0.13356578,0.14176767,0.1709301,0.12285009,0.14730859,0.1325075,0.12514706,0.11246176,0.14897302,0.13232732,0.13019657,0.13194273,0.15136255,0.13677517,0.13035579,0.147452,0.1671869,0.10865331,0.17117763,0.13972345,0.14933863,0.15629667,0.12845121,0.13002709,0.14632009,0.15508218,0.13740039,0.14162524,0.14645302,0.15565893,0.116454765,0.11731421,0.13736731,0.14553666,0.13980153,0.13555332,0.13744693,0.12368405,0.22678961,0.15112898,0.15805535,0.14144213,0.14029309,0.1642641,0.21244687,0.1659583,0.1567674,0.16374975,0.17319714,0.15853538,0.1467826,0.14055334,0.15605915,0.14527494,0.15551934,0.1631453,0.11559914,0.13532118,0.17801641,0.14767274,0.15942883,0.14793633,0.14595255,0.15853988,0.12668686,0.15513544,0.13372226,0.14679824,0.13307485,0.16283631,0.15471983,0.11169992,0.12230545,0.1375404,0.13393413,0.1545045,0.1773907,0.15716508,0.19137979,0.14370055,0.15232615,0.17255451,0.2154369,0.12449327,0.2348237,0.1336678,0.15245694,0.13066658,0.14502665,0.13718282,0.13942958,0.13562581,0.13540962,0.14612347,0.1590206,0.13178253,0.14290686,0.12822136,0.15313533,0.13356222,0.24743989,0.16735554,0.19143108,0.20382872,0.3169753,0.27120867,0.2840903,0.20765017,0.25836247,0.29080027,0.5124389,0.48567456,0.25002828,0.31407684,0.2951969,0.30206686,0.3345669,0
0.1121299,0.12168754,0.08471905,0.14461501,0.1414131,0.11095622,0.10714207,0.119033605,0.15619387,0.10218736,0.1397581,0.11763059,0.14131647,0.10133776,0.13915206,0.115212604,0.12460028,0.13232028,0.1555779,0.12915544,0.11687572,0.1415417,0.1380179,0.09295952,0.16860697,0.13309209,0.13585947,0.14632212,0.1304378,0.17526431,0.13432258,0.14241993,0.1322022,0.13826932,0.15767866,0.14173777,0.11666902,0.11725683,0.13643195,0.13269658,0.13861564,0.13871612,0.13160522,0.13302612,0.20305623,0.15114288,0.17518315,0.16835289,0.18726623,0.15198734,0.18371846,0.16865769,0.1349212,0.15445904,0.16955175,0.14329924,0.18047017,0.15983473,0.15975308,0.14321266,0.13780047,0.14558953,0.09941854,0.118330166,0.17085561,0.15015718,0.14023809,0.13727644,0.1418894,0.13074328,0.13146998,0.14684786,0.14233413,0.13273497,0.123071134,0.15716189,0.1433338,0.12653375,0.11808153,0.11131003,0.16467986,0.13785036,0.15999858,0.14845638,0.17258911,0.13302608,0.1408512,0.1543686,0.2006249,0.09822028,0.19910043,0.09978148,0.12194937,0.11342104,0.1303402,0.116261564,0.14152381,0.119846895,0.13084395,0.15453562,0.16329867,0.13760342,0.1580046,0.13175936,0.1343981,0.14521165,0.26565015,0.16771264,0.18026802,0.19545239,0.3541807,0.2666961,0.26046535,0.20035142,0.21491511,0.34454805,0.5361281,0.48926476,0.2151972,0.35216707,0.30638468,0.3058402,0.37549263,0
0.121661514,0.10346234,0.07592146,0.10176719,0.12560454,0.12403832,0.1119871,0.120876834,0.15000403,0.10155901,0.11989663,0.11170357,0.12702914,0.09004284,0.12675272,0.10938576,0.115590446,0.1067577,0.13994358,0.11214066,0.12809454,0.11980713,0.13440195,0.10632116,0.16139396,0.11709956,0.119275324,0.13203208,0.11080333,0.11726933,0.11692571,0.119038895,0.11772638,0.121789835,0.1290661,0.13970259,0.111929886,0.10971207,0.12452703,0.1361636,0.13889046,0.124545634,0.12489095,0.1195353,0.1843378,0.15188806,0.13436902,0.16237547,0.16257678,0.15167163,0.19558766,0.17868026,0.13808422,0.15314406,0.14021774,0.14538983,0.15413293,0.13314445,0.1468085,0.13537848,0.13626315,0.14396636,0.083003,0.11977111,0.09740662,0.09654603,0.15505712,0.1230363,0.1318487,0.0973595,0.10577076,0.13765177,0.12040425,0.112512045,0.092021935,0.13425818,0.1389089,0.096114345,0.112183936,0.11913238,0.10211728,0.129652,0.15725543,0.13625705,0.16491792,0.13085668,0.14081065,0.1481998,0.23608403,0.11403611,0.21854487,0.114389874,0.13543944,0.10990623,0.11849826,0.10767995,0.10965188,0.11326766,0.14176744,0.13386163,0.15024604,0.09864058,0.13397215,0.098921485,0.096259855,0.14120749,0.24672563,0.15123849,0.17737202,0.21704908,0.27068865,0.25078082,0.2439394,0.20470504,0.20524333,0.30606344,0.44514906,0.44074014,0.24455121,0.302794,0.2674383,0.32959446,0.30628678,0
0.14038545,0.12639058,0.09586124,0.13972157,0.16791911,0.1296159,0.11107297,0.12858334,0.14613293,0.11744007,0.12575403,0.13356404,0.13664052,0.098935165,0.14572312,0.12425741,0.10771532,0.112980396,0.14389583,0.12576297,0.11875617,0.13574637,0.15975864,0.095714904,0.14795949,0.12573256,0.12553218,0.14909859,0.12661187,0.1519177,0.12299431,0.1123961,0.1581486,0.15210246,0.16538219,0.14640954,0.10626298,0.1248821,0.13423948,0.13187924,0.12281534,0.13719955,0.11416903,0.11706557,0.16395956,0.14099765,0.14231896,0.15118462,0.17428164,0.13957435,0.18247879,0.17634244,0.15648128,0.1446934,0.12847793,0.12850764,0.13905361,0.15929995,0.16070578,0.13591118,0.15098087,0.15030575,0.12298456,0.11246053,0.12044603,0.13657741,0.1386666,0.13220628,0.14482522,0.15165704,0.109333605,0.14160372,0.13265695,0.13277419,0.12557565,0.14500208,0.1414223,0.11949485,0.11848803,0.113615625,0.1569124,0.13769573,0.15592578,0.12999041,0.17464553,0.12973715,0.14065321,0.1488701,0.2001526,0.1191541,0.2017103,0.12556015,0.14818151,0.11573599,0.13686903,0.120397024,0.13047434,0.13357197,0.12603232,0.15139201,0.15098152,0.13174036,0.14269651,0.12620509,0.13596846,0.12589747,0.23769599,0.14184244,0.1813418,0.190479,0.26099604,0.25327274,0.23677732,0.20746155,0.22427025,0.29507655,0.5223663,0.49100682,0.21514964,0.31660345,0.29178756,0.31311113,0.34712815,0
0.14073685,0.12341714,0.10247744,0.120962135,0.15464927,0.13006291,0.1110222,0.13961785,0.15231124,0.11396167,0.14300525,0.13307078,0.13256682,0.11550574,0.14471893,0.10992935,0.13559212,0.12512589,0.14076622,0.11326012,0.1214755,0.14125414,0.17518792,0.10966689,0.14692031,0.11410543,0.1301398,0.14112248,0.1260306,0.10231592,0.12549132,0.13697828,0.13074838,0.12809767,0.1447678,0.11921609,0.117566094,0.09643624,0.13668664,0.13864672,0.14561322,0.14145319,0.12053751,0.13399056,0.20616604,0.12494348,0.13650098,0.19212213,0.13182858,0.13460732,0.17346668,0.18084826,0.14350191,0.17465784,0.1470514,0.15418535,0.12974182,0.16573778,0.20699576,0.1483146,0.12746938,0.13476829,0.109824635,0.11508149,0.15376024,0.117450446,0.13116087,0.12761578,0.13285436,0.13795389,0.12206738,0.1301129,0.12505697,0.12573273,0.11622885,0.1558414,0.13598718,0.109458074,0.11540653,0.10400497,0.113757744,0.1347,0.17506175,0.14181712,0.17525767,0.1446796,0.15060064,0.15020368,0.23127973,0.111169055,0.21971877,0.14759105,0.14258493,0.12748255,0.13038974,0.118021384,0.11220515,0.12718464,0.1382573,0.13831723,0.14616989,0.11030513,0.13571063,0.120708756,0.11527817,0.13646358,0.29256192,0.14802894,0.18497252,0.20700605,0.33218735,0.24967323,0.2645877,0.2046001,0.25195584,0.2983689,0.49963725,0.4840539,0.21796153,0.310299,0.2764526,0.2712852,0.3350303,0
