"A8m","A8dl","A9l","A6dl","A6m","A9m","A10m","A9/46d","IFJ","A46","A9/46v","A8vl","A6vl","A10l","A44d","IFS","A45c","A45r","A44op","A44v","A14m","A12/47o","A11l","A11m","A13","A12/47l","A4hf","A6cdl","A4ul","A4t","A4tl","A6cvl","A1/2/3ll","A4ll","A38m","A41/42","TE1.0/TE1.2","A22c","A38l","A22r","A21c","A21r","A37dl","aSTS","A20iv","A37elv","A20r","A20il","A37vl","A20cl","A20cv","A20rv","A37mv","A37lv","A35/36r","A35/36c","TL","A28/34","TI","TH","rpSTS","cpSTS","A7r","A7c","A5l","A7pc","A7ip","A39c","A39rd","A40rd","A40c","A39rv","A40rv","A7m","A5m","dmPOS","A31","A1/2/3ulhf","A1/2/3tonIa","A2","A1/2/3tru","G","vIa","dIa","vId/vIg","dIg","dId","A23d","A24rv","A32p","A23v","A24cd","A23c","A32sg","cLinG","rCunG","cCunG","rLinG","vmPOS","mOccG","V5/MT+","OPC","iOccG","msOccG","lsOccG","mAmyg","lAmyg","rHipp","cHipp","vCa","GP","NAC","vmPu","dCa","dlPu","mPFtha","mPMtha","Stha","rTtha","PPtha","Otha","cTtha","lPFtha","Label"
0.0014209993,0.0013683115,0.0017106791,0.0014718141,0.0012666997,0.0013733665,0.0014252726,0.0012854727,0.0011170403,0.0013242258,0.0012728429,0.001285503,0.001267884,0.0012728708,0.0010742893,0.001302749,0.0012710163,0.001297197,0.0010286999,0.0012969783,0.0011572387,0.0012187896,0.0010794831,0.0011405452,0.0014656227,0.0011927148,0.0011422342,0.0012043174,0.0013438448,0.0016870638,0.0011971139,0.0012360703,0.001367022,0.0013283746,0.0017179848,0.0010915612,0.0014443786,0.0011557951,0.0015408517,0.0010263008,0.0012050086,0.0012691381,0.0011171167,0.0011277428,0.0010596622,0.0012292761,0.0012029837,0.00097171095,0.001031513,0.0010418638,0.0009919355,0.0012290169,0.0012049599,0.0011929363,0.0011913558,0.0012447395,0.001022285,0.0014825779,0.0014319746,0.0012712898,0.0009565585,0.00094316876,0.0017526038,0.0015292539,0.001224904,0.0016125091,0.0015558325,0.0012663181,0.0014106459,0.0012539945,0.0012739074,0.0010884671,0.0011386073,0.0014775705,0.0015065215,0.0011132811,0.0011419603,0.0012266608,0.0011978853,0.001312554,0.0016399478,0.0013118122,0.0013137896,0.001070673,0.0013632503,0.0012155103,0.0011016278,0.0010337711,0.0010300673,0.0012422716,0.0011130102,0.0011516872,0.0010418665,0.0011937568,0.001194162,0.0011788837,0.00115734,0.0011240902,0.0011050701,0.0010975748,0.0010237036,0.0011853214,0.0010870941,0.0014736654,0.0014196312,0.0015946357,0.00104631,0.0016560996,0.001601971,0.0011467789,0.0007518224,0.0008931797,0.0007613982,0.0014550961,0.0007037869,0.0008064264,0.00073572044,0.0007340582,0.0015621783,0.0008173549,0.0010485941,0.0011274552,0.00076339825,0
0.0014933166,0.0016116031,0.001905791,0.0017464324,0.0013263775,0.0013846585,0.0015791091,0.001518479,0.0014617868,0.0014221746,0.0014035889,0.0017116627,0.0015742156,0.0015057996,0.0012178428,0.0013542969,0.001577389,0.0013396966,0.0012161848,0.0014711211,0.0013490769,0.001219973,0.0010688048,0.0015086733,0.0011429477,0.0012326515,0.001563994,0.0014926308,0.0015307235,0.0017641665,0.0015371789,0.0016743423,0.0013178496,0.0013718845,0.0012318157,0.0012758741,0.0015840877,0.0013708568,0.0014840618,0.0011790371,0.0012586255,0.0013157098,0.0011283028,0.0012650399,0.00094179116,0.0011422854,0.001064764,0.0010095205,0.0010727695,0.0009755535,0.0009816468,0.0009873111,0.0009638243,0.00096145883,0.00097169174,0.001217433,0.0008788654,0.0016940803,0.0012184383,0.0012330281,0.0010001721,0.0009986019,0.0016170446,0.0015017225,0.0012214757,0.0017623696,0.0013772828,0.0010988759,0.0012655723,0.0013305217,0.001305311,0.0010473804,0.001214823,0.0012687935,0.0013767091,0.0011100885,0.0010589474,0.0014968682,0.0012527988,0.0015129762,0.0018814441,0.0012551283,0.00122379,0.0012142992,0.0012975927,0.001260211,0.0012113146,0.0009996671,0.001033672,0.0012029152,0.0011219021,0.0012533295,0.0010436784,0.0012467055,0.0010627022,0.0011786794,0.0012130489,0.0010048806,0.0012416011,0.0010372006,0.0009916789,0.0010613452,0.0009274977,0.0014493397,0.0012027965,0.0011556055,0.0008180616,0.0012930735,0.0012331737,0.0013622557,0.0006940546,0.0008942979,0.00069683744,0.0016284469,0.00071898836,0.0008107695,0.00072889373,0.00071001606,0.0016785685,0.00081966317,0.00096241164,0.0010970479,0.00076038647,0
0.00126138,0.0013484942,0.001480528,0.0013758757,0.0011711736,0.0011638243,0.0012124224,0.0011338784,0.001044395,0.0012179033,0.0011236927,0.0012350521,0.001271426,0.0012101913,0.0009839617,0.0010448117,0.0012087167,0.001156039,0.0009666395,0.0010971286,0.0010418214,0.0010426042,0.001011788,0.0012710755,0.0009070456,0.0010620211,0.0010796519,0.0011058536,0.001144477,0.0015542192,0.0010665804,0.0010699894,0.0011104137,0.0011073628,0.0010662901,0.0009489207,0.0012166529,0.0010703354,0.00113549,0.00088682066,0.0009542427,0.0009429257,0.00093002187,0.0009413027,0.0007867529,0.0009392506,0.0008274039,0.00085224287,0.00089436676,0.00081010925,0.000782655,0.0008686191,0.0008611184,0.0008498555,0.00085546396,0.000984863,0.0008218104,0.001298941,0.0012120813,0.0011968622,0.000835626,0.00084263005,0.0013317855,0.0011230953,0.0010317338,0.0012821784,0.0010305904,0.0009095625,0.0010347934,0.0010659002,0.0010958868,0.0008888422,0.0010036653,0.0010951462,0.0012429965,0.00090987067,0.0009106554,0.0011850793,0.0010986781,0.0011141106,0.0015171836,0.0010386759,0.0011008739,0.0009726144,0.0010123883,0.0009999044,0.0010101519,0.00084815867,0.0008930217,0.0010948422,0.0009610791,0.0010081942,0.00091193017,0.0010414808,0.00097511936,0.00093059515,0.0008831762,0.00091574516,0.0009296629,0.0008414627,0.00084562064,0.00085532595,0.0008700369,0.0010312846,0.00090679916,0.0009941135,0.0008237869,0.0010552855,0.00094823685,0.00082139106,0.0006725474,0.000777845,0.0007176472,0.0009251294,0.0007102167,0.000736613,0.0006997925,0.0006987306,0.0011454789,0.00077525596,0.000869895,0.0009030047,0.00072073465,0
0.001476631,0.0013819056,0.0017163098,0.0013890615,0.0013099982,0.001375008,0.001465117,0.001352806,0.0011244724,0.0015094508,0.0012797184,0.0014481824,0.0013396156,0.0013863357,0.0010729185,0.001286261,0.0013659749,0.0012600549,0.0009497014,0.0012550928,0.001182325,0.0010286706,0.0009525412,0.0016048134,0.0009730485,0.0011262606,0.0011674555,0.0011826089,0.0012037918,0.0014940703,0.0011336663,0.0011626617,0.0011906403,0.0012698256,0.001185804,0.00096937624,0.0012242777,0.0012057483,0.0012534827,0.0010444183,0.0010015848,0.0010361569,0.0010030061,0.0010142308,0.0008477343,0.0009590058,0.0008661337,0.0008930619,0.00085996726,0.0008487145,0.0008190244,0.00089846837,0.0010177256,0.00097318186,0.0009388575,0.0011025621,0.0008044002,0.0012385964,0.0010503836,0.001205373,0.0008742083,0.0008581117,0.0015124859,0.001233887,0.001103237,0.0013020282,0.0011729683,0.0009366174,0.0011129278,0.0011638879,0.0010884841,0.00091095304,0.00097603275,0.0013178734,0.0012711739,0.0009570805,0.00096481596,0.001216345,0.0011021759,0.0012024089,0.0014320845,0.0010571713,0.0010890267,0.00094489113,0.0010986702,0.0009853651,0.00097277004,0.00091616675,0.0009153347,0.0012377149,0.0010364614,0.0012752225,0.0010883322,0.0011317256,0.0011068499,0.0010638138,0.0009528816,0.0011192122,0.0010707442,0.00088827166,0.00088605843,0.0008435321,0.0008603454,0.0010895234,0.0010249305,0.0010807991,0.0008393278,0.0010672752,0.001030939,0.0011092466,0.0006930804,0.0007994769,0.00070791127,0.0013681909,0.00073934323,0.0007803394,0.00070134574,0.0006971181,0.001625854,0.00076260284,0.00089884683,0.0009848973,0.00072465756,0
0.0012985406,0.0014592303,0.0017355825,0.0014713806,0.001263625,0.0011135254,0.0012344867,0.0012482909,0.0010220563,0.001384651,0.0011271161,0.0013031603,0.0013564433,0.0013566851,0.0010615267,0.0011177369,0.0012142853,0.0013280556,0.00094282825,0.0011949854,0.0009795341,0.0010724047,0.0009035542,0.0011626391,0.0009697008,0.0011440369,0.0011924201,0.001263497,0.0013795673,0.0014593682,0.0011909263,0.0012145848,0.001171967,0.0011350025,0.0011325817,0.0009807216,0.0013002554,0.0010890886,0.0012518978,0.000937148,0.000982355,0.000960008,0.00094394677,0.0009690357,0.0007941721,0.0008518964,0.000844986,0.0008694565,0.0008412273,0.00085235486,0.0007971976,0.0008498269,0.00090045994,0.0008305424,0.0008313695,0.0010434074,0.00079915393,0.0012967192,0.001059695,0.0013487664,0.0008387895,0.00085086515,0.001763026,0.00131758,0.0015956871,0.0017305253,0.0013088641,0.00100675,0.001235788,0.0013383019,0.0012992357,0.0009439472,0.0009899602,0.0013592329,0.0015067416,0.0009705618,0.0009574742,0.0013914511,0.001093932,0.0012747757,0.0016715773,0.0010632826,0.0011282767,0.00092602917,0.0011402091,0.0010459417,0.0009818284,0.00094583025,0.0008798801,0.0010732416,0.0009734914,0.0011164898,0.000986403,0.0009933099,0.0010469294,0.0009956942,0.0010947622,0.0010158754,0.0010026925,0.0010068229,0.0008756982,0.00095867855,0.00086427346,0.0014195564,0.0012981958,0.0010358775,0.0008224134,0.0011408315,0.0009911859,0.00089213636,0.00077517977,0.0008025599,0.000774371,0.0009828263,0.00079939724,0.00075587723,0.0007324371,0.00071951776,0.0012501042,0.00080327014,0.0009293477,0.0008754323,0.0007581341,0
0.0011101387,0.001175371,0.0014404119,0.0012619037,0.0010667206,0.0010679098,0.0011444429,0.0011185115,0.0010529357,0.0011978592,0.00106405,0.0011464389,0.0012134538,0.001123984,0.0010029841,0.0010873494,0.0011562641,0.0011237855,0.00097270636,0.001258709,0.0010454628,0.0010044489,0.0009555244,0.0010993802,0.0012507209,0.0010441208,0.0010787938,0.0010479331,0.0011526461,0.0014065311,0.0011387246,0.0011139392,0.0009871364,0.0010641152,0.0010048114,0.0010087646,0.0012042848,0.0012396276,0.0011582166,0.00097295135,0.00096315244,0.0009412861,0.0009932538,0.0009567769,0.0007892606,0.0010290673,0.0009080217,0.000759467,0.0009390949,0.000948441,0.00084707414,0.0008433847,0.00087448175,0.0008671146,0.00089074706,0.00092546677,0.00083115924,0.0012803598,0.00089667435,0.001113142,0.00087434374,0.00089634635,0.0012125723,0.0012156231,0.0010045917,0.001167718,0.0010950627,0.0009776673,0.001075495,0.0010134621,0.001048428,0.0009774799,0.0010293083,0.001196877,0.0010917237,0.00095169264,0.00090011884,0.0012007252,0.0010785725,0.0011181759,0.0012334161,0.001109913,0.0010890806,0.0009981965,0.0010979397,0.00096871256,0.0009786295,0.0008498472,0.0010494515,0.0010429275,0.0009597239,0.00092829484,0.000872225,0.0010117951,0.0011822326,0.0010147286,0.0010709817,0.00096666644,0.0010953719,0.0009316787,0.00090627075,0.00090363447,0.0008830604,0.0011967882,0.0010542489,0.0010631371,0.0008509957,0.0012321542,0.0011367636,0.0009299896,0.00071186724,0.0008074152,0.000702516,0.0012233318,0.00070455484,0.00079752813,0.00072377885,0.00071799237,0.001378936,0.0008043069,0.0010162342,0.0010665222,0.0007448689,0
0.001264931,0.0012710134,0.0015141069,0.0012823374,0.0012800217,0.001209456,0.0014201308,0.0013988517,0.0010325543,0.0014341368,0.0012409812,0.0013197382,0.0012322125,0.0012495491,0.001150211,0.0012327281,0.0013759715,0.0012846834,0.0011862898,0.0013491153,0.0012403101,0.001132281,0.0009875024,0.0012836999,0.0009639337,0.0012418262,0.0011527947,0.0011900547,0.0012564297,0.0014906869,0.0013206342,0.0013535302,0.0011693055,0.0012651416,0.0012182236,0.0011797406,0.001526011,0.0011682757,0.0012799919,0.0011333498,0.0011361366,0.0010527126,0.0011784597,0.0011405841,0.00092655997,0.0011056933,0.0009816821,0.0010643951,0.0011365918,0.0009860923,0.0009829829,0.0010099441,0.0010160896,0.0009791367,0.0011465654,0.0010355881,0.0009099289,0.0014405049,0.0013047602,0.0012923598,0.000992757,0.0010128608,0.0014896697,0.0013128347,0.0013154963,0.0014180948,0.0015113158,0.0011848303,0.0013007659,0.0012494955,0.0012991824,0.0011769113,0.0012398935,0.0013417042,0.0013053492,0.00108476,0.0010391665,0.0014058106,0.001336884,0.0013806251,0.0014708806,0.0014045695,0.0012695319,0.0011880662,0.00126723,0.0012496249,0.0012034484,0.0009760339,0.0010474959,0.0012270153,0.0010397736,0.0012410729,0.0010496081,0.0012425015,0.0012910144,0.0011461361,0.0013476434,0.0010912287,0.001136959,0.0011060243,0.0011148639,0.0011566037,0.0011074168,0.0013460978,0.0013547312,0.0012382315,0.00091257406,0.0013044449,0.00138915,0.0012920694,0.0007383358,0.0008698493,0.0007476878,0.0014185007,0.00077864516,0.0008434928,0.0007484242,0.0007439548,0.001393233,0.00083573704,0.0009491867,0.0010272174,0.00079396076,0
0.0014803902,0.0015147941,0.001775011,0.0015652226,0.0013065627,0.0014512183,0.0014433642,0.0014963793,0.0016139891,0.0015330937,0.0014184237,0.0016091663,0.0015427927,0.0012875046,0.0014075816,0.0012816208,0.0015600552,0.0013858184,0.0013254052,0.0017161014,0.0011092932,0.0011950156,0.0010059744,0.0010994902,0.0011504412,0.0012186173,0.0013707266,0.0013754098,0.0014029084,0.0015184566,0.0014881146,0.0016004471,0.0010912593,0.0011815095,0.0012779895,0.0012961738,0.0016035751,0.0013012629,0.0013888984,0.0012551897,0.0011860055,0.0011116145,0.0011100544,0.0011574727,0.0008823598,0.0011943852,0.00092919497,0.0009278674,0.0010287118,0.00097380887,0.0009016336,0.00095160253,0.00092859124,0.00093969377,0.00096820644,0.0012108709,0.0008237965,0.0014795957,0.0010614258,0.0012260125,0.0011515192,0.0010898991,0.0013389449,0.001290421,0.0013767615,0.0013678641,0.0012097574,0.0010607677,0.001311306,0.0016026739,0.0012459779,0.0010560646,0.0012064354,0.0012762204,0.0012295886,0.0009817271,0.0009799302,0.0016529944,0.0014135452,0.0014379169,0.0016312741,0.0011887111,0.0012296917,0.0011905826,0.0011867885,0.0011585401,0.0011579455,0.0009625292,0.0009808228,0.0011689968,0.0011112783,0.0011120401,0.0010154411,0.0010764053,0.0011187779,0.0011517718,0.0011010595,0.0010539807,0.0010551754,0.0010618997,0.00096242613,0.0009134083,0.0010299011,0.0012761231,0.0010664101,0.0011779092,0.000889129,0.0012692402,0.0013146423,0.0015185676,0.0007354306,0.0008511611,0.00071796356,0.0016366313,0.0008252452,0.0007736485,0.0007300885,0.0007096547,0.0016526942,0.00076478074,0.00092987524,0.0011376991,0.00074806594,0
0.0012690073,0.001245213,0.0016569453,0.001031187,0.0014446904,0.0013983983,0.0013214998,0.0012912183,0.0011596417,0.001407911,0.0012269961,0.0012738538,0.0012054271,0.0012489754,0.0010968273,0.0011418418,0.0015449601,0.0013916743,0.0012991041,0.00170681,0.001149264,0.0013050598,0.001046448,0.0012061797,0.0013912302,0.0013049147,0.0011721392,0.0010533184,0.000995155,0.0010822656,0.0015611069,0.0014654404,0.0009365811,0.0013790325,0.0013928023,0.0013583981,0.0016005331,0.0012410239,0.0014613059,0.0011083931,0.0010885432,0.0011204394,0.001160605,0.0010135475,0.000880125,0.0011124983,0.0009863124,0.00096780324,0.0009973305,0.0009608403,0.00089665456,0.00094165956,0.0010252908,0.0009865026,0.00096457615,0.0010677759,0.00088954275,0.0016697912,0.001191638,0.0014195017,0.0009927861,0.0009373779,0.0011832294,0.0011820688,0.0010448119,0.0011862636,0.0011046354,0.0010463579,0.0012322282,0.0012223953,0.0012023482,0.0010139236,0.001463428,0.0010617273,0.0010701624,0.0011958999,0.001106167,0.0012863331,0.0015253117,0.0011905393,0.0010776959,0.0014168503,0.0014725876,0.0011946285,0.0014593073,0.0013242019,0.0012078251,0.0010988384,0.0011609761,0.00149724,0.0012282999,0.0017274627,0.0012536654,0.0012391765,0.001249751,0.0010820815,0.0012089154,0.0010907665,0.0011850023,0.00089886755,0.00095428736,0.0010437355,0.00097538135,0.0013409251,0.001055531,0.0013559493,0.0009071607,0.0014827381,0.0013349198,0.0010910323,0.0007527947,0.0008352948,0.0007069308,0.0014834648,0.0007625323,0.0008485109,0.00074390805,0.00074706104,0.0015690693,0.0009010239,0.0011033202,0.0011266312,0.00076913397,0
0.0013246172,0.0013893889,0.001695099,0.0013220446,0.0011681643,0.0012873994,0.0014591098,0.0013808929,0.0010967897,0.0014844724,0.0012518998,0.0013253292,0.0013104788,0.0014243313,0.0011046394,0.0012821133,0.0013497298,0.0013976801,0.0011186489,0.001240685,0.0011999045,0.0013078244,0.0011767822,0.0012334579,0.0011916172,0.0012864957,0.0011474118,0.001171724,0.0013332576,0.0013384637,0.0012457237,0.0012817351,0.0012393976,0.0013391613,0.0013445991,0.0010981661,0.0013497921,0.0012081456,0.0013140123,0.0010981554,0.0010885898,0.0012168081,0.0010377952,0.0010338371,0.000936362,0.0010444244,0.0011666018,0.0009344702,0.00095143885,0.0009990652,0.00092500175,0.0009855442,0.0009135324,0.00093982485,0.0011686616,0.0011804746,0.0008443205,0.0015994905,0.0013142027,0.0012309207,0.0008751406,0.00092115084,0.001506318,0.0013841065,0.0011661177,0.00139801,0.0012927713,0.0010636766,0.0012530801,0.0011880836,0.0012271794,0.0010055236,0.0011135062,0.0014094486,0.0014253774,0.0010237866,0.0010855127,0.0013791114,0.0012799765,0.0012146721,0.0014699838,0.0012174686,0.0013014023,0.0011180335,0.001158794,0.0011734925,0.0011196698,0.0010374086,0.0010938987,0.0012206974,0.001110267,0.0011736222,0.0011615346,0.001144049,0.0010577819,0.0011151674,0.0010658125,0.001049768,0.0010913396,0.0010126634,0.00097953,0.0010750688,0.00094431743,0.0012953965,0.0011185996,0.0012856396,0.00087054056,0.0012733197,0.0011426206,0.0011502329,0.0007147459,0.00083472935,0.00071476237,0.0012876348,0.0007403109,0.0007776981,0.0007311544,0.0007174478,0.0012718784,0.00080004515,0.0009240345,0.0009769406,0.00075101515,0
